time_s,g5_pitch,ahrs_pitch,accel_pitch,raw_accel_pitch,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,error
618.285488,-6.400000,-5.018277,-8.341845,-7.591308,0.121415,1.539656,0,20,0,1.381723
618.481165,-6.300000,-3.843663,-4.175687,-5.887190,-0.278115,14.324071,0,58,0,2.456337
618.681069,-6.210000,-4.308228,-7.426804,-6.150826,-0.038737,9.108044,1,11,1,1.901772
618.880390,-6.090000,-3.213993,-10.087170,-10.323255,0.286646,14.446887,0,41,0,2.876007
619.081256,-5.990000,-3.030516,-7.950376,-9.015132,-0.179717,11.225256,1,0,1,2.959484
619.281159,-6.020000,-3.521107,-10.476055,-10.156062,0.055213,14.578820,0,34,0,2.498893
619.488513,-6.010000,-2.895746,-15.800454,-16.100328,-0.052052,10.819569,1,16,1,3.114254
619.686515,-5.960000,-2.749863,-14.721812,-13.698244,0.176327,9.598907,1,11,1,3.210137
619.880467,-5.990000,-3.196789,-11.784840,-12.661324,-0.081385,5.443278,0,101,0,2.793211
620.080736,-6.270000,-3.681398,-13.406219,-11.485431,0.308599,7.609550,0,76,0,2.588602
620.283480,-6.650000,-3.444770,-8.219927,-10.181176,-0.329869,15.155171,0,20,0,3.205230
620.480388,-7.060000,-3.678941,-8.219927,-10.181176,0.091046,8.226798,0,222,0,3.381059
620.680399,-7.450000,-3.766174,-7.650179,-7.096268,0.092293,10.677725,1,0,1,3.683826
620.881210,-7.820000,-3.817006,-5.949815,-5.619763,0.307846,6.534139,0,32,0,4.002995
621.085475,-8.330000,-3.962173,-6.935340,-5.823865,0.178658,4.648763,0,71,0,4.367826
621.284517,-8.870000,-4.841603,-5.257349,-3.119932,0.338706,10.920997,1,10,1,4.028397
621.525615,-9.410000,-4.834388,-5.257349,-3.119932,0.211106,20.939085,0,260,0,4.575612
621.682475,-9.900000,-4.995034,-3.568733,-2.249871,0.211106,3.557062,0,65,0,4.904965
621.880382,-10.380000,-6.330603,-4.796395,-2.192062,0.651731,7.938321,0,77,0,4.049397
622.086507,-10.810000,-7.255234,-7.098867,-6.406076,0.470378,7.479658,0,84,0,3.554767
622.280409,-11.230000,-7.544383,-7.098867,-6.406076,0.470378,6.791754,0,289,0,3.685616
622.480077,-11.580000,-7.166878,-11.580159,-8.684700,0.460930,7.943017,0,156,0,4.413122
622.683638,-11.900000,-6.438089,-12.660560,-9.536925,0.498101,3.645221,0,46,0,5.461910
622.880672,-12.200000,-7.542269,-14.141119,-9.771148,0.673448,10.767760,1,0,1,4.657731
623.080628,-12.440000,-7.760754,-13.442266,-7.185143,0.216129,3.019205,0,73,0,4.679246
623.281197,-12.550000,-8.526698,-13.442266,-7.185143,0.737049,11.961679,0,34,0,4.023302
623.497229,-12.610000,-8.721269,-13.442266,-7.185143,0.399748,17.964130,0,117,0,3.888731
623.682657,-12.730000,-9.406741,-14.995173,-12.397088,0.510273,3.859227,0,34,0,3.323258
623.880618,-12.840000,-9.685195,-18.326797,-10.689178,0.210096,10.517111,1,0,1,3.154805
624.081394,-12.980000,-9.140192,-11.032867,-9.615698,0.210096,7.456579,0,49,0,3.839808
624.280396,-13.200000,-9.525626,-11.032867,-9.615698,0.536375,11.778976,0,242,0,3.674374
624.520885,-13.350000,-8.617892,-11.032867,-9.615698,0.301917,15.376238,0,181,0,4.732108
624.682483,-13.460000,-8.794436,-12.675464,-10.689672,0.341242,8.273854,0,49,0,4.665564
624.881179,-13.440000,-9.842436,-18.794464,-13.597568,0.188748,10.658424,1,9,1,3.597564
625.081135,-13.440000,-9.776820,-22.815254,-20.043854,0.457020,10.636343,1,7,1,3.663179
625.284643,-13.590000,-9.994273,-24.983763,-22.342434,0.429983,13.909369,0,85,0,3.595727
625.507876,-13.680000,-8.751609,-29.179379,-26.535028,0.456078,11.590943,0,74,0,4.928391
625.683478,-13.710000,-11.004120,-27.370945,-26.025080,0.226884,9.204185,1,0,1,2.705880
625.890651,-13.820000,-13.746299,-18.533371,-17.143452,0.225725,10.622753,1,11,1,0.073701
626.083501,-13.850000,-12.695348,-18.750893,-17.373466,0.137650,7.469763,0,164,0,1.154653
626.290638,-13.790000,-12.418932,-12.851078,-11.538951,0.352437,7.729834,0,31,0,1.371068
626.518104,-13.720000,-13.577365,-16.068390,-13.751350,0.088273,14.316808,0,229,0,0.142635
626.681202,-13.730000,-17.292643,-12.884171,-11.418231,0.467943,17.736956,0,21,0,-3.562643
626.880387,-13.810000,-17.555563,-16.358101,-13.387425,0.319467,9.418594,1,5,0,-3.745563
627.080418,-13.850000,-16.967432,-16.358101,-13.387425,0.319467,10.922340,1,0,0,-3.117432
627.282472,-13.720000,-16.044863,-16.358101,-13.387425,0.152755,7.729398,0,46,0,-2.324862
627.528968,-13.670000,-15.618217,-16.358101,-13.387425,0.068520,10.066620,1,54,0,-1.948216
627.694509,-13.570000,-16.285498,-16.358101,-13.387425,0.421675,3.343341,0,101,0,-2.715498
627.885479,-13.540000,-17.506880,-17.536478,-16.909090,0.069809,10.432002,1,16,1,-3.966880
628.080418,-13.590000,-18.271170,-15.658829,-15.184455,0.224185,13.105811,0,35,0,-4.681170
628.281168,-13.610000,-15.375622,-15.658829,-15.184455,0.078527,7.671847,0,33,0,-1.765622
628.541964,-13.550000,-14.405648,-15.658829,-15.184455,-0.061695,5.555495,0,114,0,-0.855648
628.681277,-13.510000,-12.166095,-15.658829,-15.184455,0.496548,7.539277,0,236,0,1.343905
628.882656,-13.560000,-13.618295,-15.658829,-15.184455,0.074296,13.859619,0,80,0,-0.058294
629.085764,-13.600000,-12.506444,-15.658829,-15.184455,0.166278,15.409976,0,58,0,1.093556
629.292507,-13.630000,-12.743853,-15.658829,-15.184455,0.171302,6.649623,0,35,0,0.886147
629.601988,-13.660000,-13.019675,-15.658829,-15.184455,0.125182,6.200191,0,129,0,0.640325
629.689722,-13.660000,-14.349543,-15.658829,-15.184455,0.384397,8.255710,0,202,0,-0.689543
629.885787,-13.700000,-14.410124,-15.658829,-15.184455,0.064172,8.396269,1,12,0,-0.710124
630.083482,-13.700000,-13.013592,-15.658829,-15.184455,0.192484,19.872484,0,124,0,0.686408
630.280573,-13.620000,-15.860925,-15.658829,-15.184455,0.027157,10.489200,1,10,0,-2.240925
630.480445,-13.540000,-15.306859,-15.658829,-15.184455,0.143806,7.527967,0,57,0,-1.766859
630.682623,-13.480000,-15.341303,-15.658829,-15.184455,0.330174,21.008705,0,46,0,-1.861303
630.882752,-13.420000,-14.534841,-18.861782,-16.284595,-0.107714,10.899920,1,1,1,-1.114841
631.081567,-13.190000,-14.944387,-13.535194,-14.265467,0.513177,5.808331,0,120,0,-1.754388
631.281084,-12.630000,-12.444698,-16.803782,-13.405367,-0.281266,5.230410,0,49,0,0.185302
631.482659,-11.850000,-11.847431,-16.803782,-13.405367,0.099446,3.432520,0,119,0,0.002569
631.680432,-11.020000,-10.693568,-16.803782,-13.405367,0.303023,17.075302,0,154,0,0.326432
631.881383,-9.990000,-10.052961,-16.803782,-13.405367,0.141184,17.300482,0,33,0,-0.062962
