time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
114.887507,-0.050000,0.996269,0.888644,nan,-11.245882,-0.413164,0.943401,-6.923277,0.943401,9.755689,8.759419,1.144752,1,1.046269
115.088224,-0.250000,-0.169209,0.912405,nan,12.283427,0.239658,-1.883485,-6.989726,-1.883485,11.955027,12.124235,4.930632,1,0.080791
115.283844,-0.470000,-1.138236,0.780649,nan,20.920630,1.674080,0.780649,-6.310613,0.780649,12.981044,14.119280,2.261052,1,-0.668236
115.482673,-0.580000,-1.311357,0.657330,nan,14.534173,1.687949,0.657330,-5.585904,0.657330,13.204768,14.516125,1.995943,1,-0.731357
115.683622,-0.610000,-1.379040,0.557060,nan,7.315892,1.090922,-1.020206,-3.943166,-1.020206,11.259524,12.638565,4.524239,1,-0.769040
115.884481,-0.640000,-2.409468,0.407101,nan,13.433330,1.967107,-5.270467,-14.193920,-5.270467,12.421486,14.830955,3.603666,1,-1.769468
116.081464,-0.620000,-2.075047,0.367298,nan,-4.035801,0.643281,0.367298,-13.026338,0.367298,10.271997,12.347044,7.559187,1,-1.455047
116.281474,-0.570000,-2.330992,0.312981,nan,-0.523115,0.384646,0.312981,-12.878119,0.312981,10.396604,12.727596,7.809670,1,-1.760993
116.482492,-0.510000,-2.807120,0.198242,nan,-26.137011,1.246735,0.198242,-11.914504,0.198242,7.878778,10.685898,1.601352,1,-2.297120
116.682433,-0.460000,-1.925390,0.183939,nan,2.580259,1.748446,0.183939,-13.102049,0.183939,11.026379,12.951769,2.676108,1,-1.465390
116.886646,-0.360000,-1.630296,0.070558,nan,-18.744373,1.176752,0.070558,-13.386403,0.070558,9.069970,10.700266,0.827136,1,-1.270296
117.082524,-0.260000,-1.950914,0.054907,nan,-32.442265,1.472317,0.054907,-8.817061,0.054907,5.272646,7.223559,1.263425,1,-1.690914
117.281389,-0.140000,-1.621369,0.033497,nan,9.937440,2.142377,-2.720190,-6.884217,-2.720190,11.822814,13.444183,5.174253,1,-1.481369
117.482271,-0.050000,-2.321580,0.045077,nan,-7.534202,3.719157,-0.018890,-4.193553,-0.018890,10.002423,12.324003,9.300447,1,-2.271580
117.683622,0.030000,-1.213211,0.008952,nan,-10.869955,2.423142,-1.094267,-2.758046,-1.094267,10.059028,11.272239,4.543838,1,-1.243211
