time_s,g5_pitch,ahrs_pitch,accel_pitch,error
151.694507,-6.050000,-4.514052,-20.189306,1.535948
151.884506,-6.060000,-3.867048,-20.212776,2.192952
152.083776,-6.060000,-4.061848,-17.060307,1.998152
152.286770,-6.070000,-3.069463,-17.060307,3.000538
152.488515,-6.120000,-2.766595,-17.060307,3.353405
152.686490,-6.220000,-2.696688,-17.060307,3.523312
152.882506,-6.230000,-1.222344,-9.254193,5.007657
153.082481,-6.250000,-0.965952,-9.259238,5.284048
153.282548,-6.250000,0.338503,-8.845321,6.588502
153.482973,-6.270000,-0.195627,-8.282384,6.074372
153.687650,-6.250000,-0.307595,-9.497028,5.942405
153.882560,-6.270000,-0.793303,-10.546306,5.476697
154.086751,-6.240000,-0.697882,-10.605660,5.542118
154.283506,-6.190000,0.140733,-7.881157,6.330733
154.481486,-6.160000,-0.639210,-8.144201,5.520790
154.690508,-6.120000,0.737981,-8.145523,6.857981
154.882198,-6.130000,0.251265,-6.891579,6.381266
155.081394,-6.150000,-0.733612,-7.931442,5.416388
155.281735,-6.140000,0.350966,-7.935376,6.490966
155.482569,-6.180000,0.766672,-7.668056,6.946671
155.681705,-6.170000,0.654771,-10.508018,6.824771
155.881626,-6.130000,1.087220,-10.507290,7.217220
156.086513,-6.130000,0.744795,-15.091008,6.874795
156.281709,-6.160000,-0.290782,-9.200203,5.869218
156.483521,-6.210000,-0.057227,-14.735877,6.152773
156.681476,-6.220000,-0.273146,-16.194344,5.946853
156.882111,-6.200000,0.077095,-16.194536,6.277095
157.089509,-6.160000,0.697381,-16.214291,6.857381
157.283455,-6.170000,1.075071,-14.872430,7.245071
157.480993,-6.250000,3.027313,-13.730655,9.277312
157.686520,-6.280000,2.681728,-13.549409,8.961728
157.881394,-6.290000,2.574736,-12.750669,8.864736
158.089485,-6.230000,0.635728,-11.921083,6.865728
158.282574,-6.140000,1.410739,-11.941946,7.550739
158.482223,-6.080000,1.286942,-11.961815,7.366941
158.682539,-5.970000,0.597634,-9.457241,6.567634
158.881384,-5.860000,0.414866,-11.097041,6.274866
159.084537,-5.740000,0.839240,-11.117979,6.579240
159.294420,-5.610000,0.405913,-11.117979,6.015913
159.481483,-5.490000,0.816957,-11.117979,6.306957
159.691760,-5.420000,0.861414,-11.117979,6.281415
159.893098,-5.400000,1.585601,-11.117979,6.985601
160.092507,-5.340000,1.028164,-11.117979,6.368164
160.299421,-5.230000,0.648249,-19.096462,5.878249
160.482963,-5.110000,0.622048,-13.725275,5.732048
160.682848,-5.100000,0.828709,-16.170448,5.928709
160.881612,-5.110000,0.404704,-10.444000,5.514704
161.083618,-5.160000,0.635092,-15.110836,5.795092
161.315054,-5.190000,0.877073,-9.551889,6.067073
161.484472,-5.170000,1.228007,-8.162384,6.398007
161.689510,-5.270000,0.471597,-10.488137,5.741597
161.886769,-5.240000,0.428053,-10.488137,5.668053
162.082726,-5.130000,0.227477,-10.488137,5.357477
162.328141,-5.080000,0.107377,-9.476159,5.187377
162.488645,-5.070000,0.904243,-11.545760,5.974243
162.681905,-5.000000,0.305610,-11.599816,5.305610
162.883578,-4.890000,-0.311336,-12.521317,4.578664
163.087656,-4.890000,-1.196353,-11.798055,3.693647
163.331971,-4.820000,-1.024955,-11.972430,3.795045
163.484497,-4.660000,0.183676,-12.119409,4.843676
163.686508,-4.650000,-0.595101,-15.086384,4.054900
163.882495,-4.650000,0.207233,-11.951134,4.857233
164.082476,-4.680000,-1.478202,-5.057766,3.201798
164.364996,-4.630000,-1.412194,-6.852738,3.217806
164.483441,-4.620000,-2.799460,-5.774364,1.820540
164.681891,-4.770000,-2.303290,-4.425814,2.466710
164.884660,-4.930000,-1.710170,-10.182454,3.219830
165.082487,-4.980000,-0.982742,-12.147017,3.997258
165.284528,-4.920000,-1.503790,-13.839613,3.416210
165.484654,-4.950000,-1.416331,-13.554499,3.533669
165.683554,-5.120000,-2.593317,-13.817054,2.526683
165.884849,-5.120000,-1.772207,-14.785151,3.347793
166.082785,-5.000000,-1.436700,-13.506701,3.563300
166.281877,-4.940000,-0.572417,-11.926786,4.367583
166.485715,-4.970000,-0.259094,-7.422331,4.710906
166.692643,-5.170000,0.344618,-7.431917,5.514618
166.890640,-5.410000,-0.852320,-8.071316,4.557680
167.092659,-5.650000,-0.918034,-6.223765,4.731966
167.283770,-5.950000,0.047456,-5.590853,5.997456
167.496685,-6.070000,0.076007,-7.691720,6.146007
167.684508,-6.120000,0.508586,-5.159768,6.628586
167.882479,-6.180000,1.538968,-5.977706,7.718967
168.083650,-6.300000,0.472336,-10.761088,6.772336
168.280484,-6.350000,0.221672,-9.855082,6.571672
168.489516,-6.190000,1.057709,-13.043626,7.247709
168.684479,-6.100000,-0.296733,-4.424375,5.803267
168.882475,-6.310000,-1.209493,-4.294497,5.100507
169.087654,-6.290000,-1.567712,-3.748976,4.722288
169.282618,-6.200000,-1.294320,-3.702964,4.905679
169.480659,-6.130000,-1.834656,-13.101222,4.295344
169.680755,-6.010000,-2.047380,-13.655848,3.962620
169.882277,-5.960000,-1.930821,-12.762550,4.029179
170.084660,-5.880000,-1.438099,-13.588596,4.441901
170.281594,-5.860000,-1.487239,-12.258631,4.372761
170.494509,-5.960000,-1.476103,-12.281284,4.483897
170.683494,-6.000000,-1.459339,-13.439714,4.540661
170.880462,-6.010000,-1.800281,-10.106569,4.209719
171.088508,-6.060000,-1.915981,-9.876668,4.144019
171.281581,-6.140000,-3.057878,-12.867538,3.082122
171.480412,-6.170000,-4.775712,-12.759980,1.394289
171.687653,-6.030000,-5.593144,-10.675298,0.436856
171.883645,-5.940000,-4.713031,-12.694845,1.226969
172.080411,-5.960000,-4.240402,-12.677882,1.719598
172.280412,-6.030000,-5.167211,-11.163126,0.862790
172.480522,-6.120000,-5.263559,-8.376224,0.856441
172.681573,-6.180000,-5.464317,-6.996009,0.715683
172.880415,-6.190000,-5.283366,-6.372132,0.906634
173.081840,-6.000000,-4.394251,-8.107587,1.605749
173.282564,-5.840000,-4.287187,-8.338529,1.552814
173.487630,-5.770000,-4.461960,-9.989538,1.308040
173.685653,-5.830000,-4.045431,-11.523786,1.784569
173.885964,-5.970000,-3.169373,-13.323857,2.800627
174.083790,-5.990000,-3.557968,-12.020330,2.432031
174.292508,-5.950000,-4.646727,-11.966021,1.303273
174.487730,-6.010000,-5.608902,-11.304192,0.401099
174.682475,-6.200000,-7.523754,-10.971267,-1.323754
174.882477,-6.370000,-8.398002,-10.024564,-2.028002
175.092805,-6.400000,-8.168479,-6.654956,-1.768479
175.286786,-6.570000,-8.579132,-5.115383,-2.009132
175.481959,-6.560000,-8.020455,-2.863157,-1.460455
175.680448,-6.560000,-8.718235,-2.863157,-2.158235
175.882569,-6.770000,-8.921843,-11.936103,-2.151843
176.083484,-6.640000,-8.677956,-12.634317,-2.037956
176.280429,-6.590000,-7.708373,-13.483261,-1.118373
